,sigma,b,z
223,0.2,2.1,1.0984463324794849
224,0.2,2.2,1.0984463324794849
225,0.2,2.3000000000000003,1.0984463324794849
226,0.2,2.4000000000000004,1.0984463324794849
227,0.2,2.5,1.0984463324794849
228,0.2,2.6,1.0984463324794849
229,0.2,2.7,1.0984463324794849
230,0.2,2.8000000000000003,1.0984463324794849
231,0.2,2.9000000000000004,1.0984463324794849
232,0.2,3.0,1.0987662434607388
233,0.2,3.1,1.1315527040061997
234,0.2,3.2,1.1632982274509487
235,0.2,3.3000000000000003,1.1940668089518354
236,0.2,3.4000000000000004,1.2239167868052019
237,0.2,3.5,1.252901424924767
238,0.2,3.6,1.2810694848037667
239,0.2,3.7,1.3084657190944622
240,0.2,3.8000000000000003,1.335131299351915
241,0.2,3.9000000000000004,1.3611041882065351
242,0.2,4.0,1.3864194644100267
243,0.2,4.1000000000000005,1.4111096077391398
244,0.2,4.2,1.435204749563042
245,0.2,4.3,1.4587328939234947
246,0.2,4.4,1.481720113196372
247,0.2,4.5,1.5041907217628454
248,0.2,4.6000000000000005,1.5261674305909487
249,0.2,4.7,1.5476714851913893
250,0.2,4.800000000000001,1.5687227890483024
251,0.2,4.9,1.5893400143223173
252,0.2,5.0,1.6095407013691048
253,0.2,5.1000000000000005,1.629341348402555
254,0.2,5.2,1.6487574924510706
255,0.2,5.300000000000001,1.667803782602269
256,0.2,5.4,1.6864940464011204
257,0.2,5.5,1.7048413501554496
258,0.2,5.6000000000000005,1.7228580538075773
259,0.2,5.7,1.7405558609492695
260,0.2,5.800000000000001,1.757945864486867
261,0.2,5.9,1.7750385884028315
262,0.2,6.0,1.7918440260073802
263,0.2,6.1000000000000005,1.8083716750283965
264,0.2,6.2,1.8246305698480894
265,0.2,6.300000000000001,1.8406293111603955
266,0.2,6.4,1.8563760932928373
267,0.2,6.5,1.8718787294101502
268,0.2,6.6000000000000005,1.887144674793725
269,0.2,6.7,1.9021810483705293
270,0.2,6.800000000000001,1.9169946526470922
271,0.2,6.9,1.9315919921883018
272,0.2,7.0,1.9459792907666553
273,0.2,7.1000000000000005,1.960162507295114
274,0.2,7.2,1.9741473506456555
275,0.2,7.300000000000001,1.9879392934457785
276,0.2,7.4,2.0015435849363508
277,0.2,7.5,2.014965262966458
278,0.2,7.6000000000000005,2.0282091651938043
279,0.2,7.7,2.041279939553
280,0.2,7.800000000000001,2.0541820540484257
281,0.2,7.9,2.0669198059232765
282,0.2,8.0,2.079497330251915
283,0.2,8.1,2.0919186079984735
284,0.2,8.200000000000001,2.1041874735810278
285,0.2,8.3,2.116307621977321
286,0.2,8.4,2.1282826154049306
287,0.2,8.5,2.1401158896061703
288,0.2,8.6,2.1518107597653846
289,0.2,8.700000000000001,2.163370426084221
290,0.2,8.8,2.1747979790382606
291,0.2,8.9,2.1860964043366686
292,0.2,9.0,2.197268587604734
293,0.2,9.1,2.2083173188077008
294,0.2,9.200000000000001,2.219245296432837
295,0.2,9.3,2.230055131445442
296,0.2,9.4,2.2407493510332794
297,0.2,9.5,2.2513304021528833
298,0.2,9.600000000000001,2.261800654890191
299,0.2,9.700000000000001,2.2721624056470344
300,0.2,9.8,2.2824178801642074
301,0.2,9.9,2.292569236391079
302,0.2,10.0,2.3026185672109944
303,0.30000000000000004,0.0,1.2721036604996137
304,0.30000000000000004,0.1,1.2721036604996137
305,0.30000000000000004,0.2,1.2721036604996137
306,0.30000000000000004,0.30000000000000004,1.2721036604996137
307,0.30000000000000004,0.4,1.2721036604996137
308,0.30000000000000004,0.5,1.2721036604996137
309,0.30000000000000004,0.6000000000000001,1.2721036604996137
310,0.30000000000000004,0.7000000000000001,1.2721036604996137
311,0.30000000000000004,0.8,1.2721036604996137
312,0.30000000000000004,0.9,1.2721036604996137
313,0.30000000000000004,1.0,1.2721036604996137
314,0.30000000000000004,1.1,1.2721036604996137
315,0.30000000000000004,1.2000000000000002,1.2721036604996137
316,0.30000000000000004,1.3,1.2721036604996137
317,0.30000000000000004,1.4000000000000001,1.2721036604996137
318,0.30000000000000004,1.5,1.2721036604996137
319,0.30000000000000004,1.6,1.2721036604996137
320,0.30000000000000004,1.7000000000000002,1.2721036604996137
321,0.30000000000000004,1.8,1.2721036604996137
322,0.30000000000000004,1.9000000000000001,1.2721036604996137
323,0.30000000000000004,2.0,1.2721036604996137
324,0.30000000000000004,2.1,1.2721036604996137
325,0.30000000000000004,2.2,1.2721036604996137
326,0.30000000000000004,2.3000000000000003,1.2721036604996137
327,0.30000000000000004,2.4000000000000004,1.2721036604996137
328,0.30000000000000004,2.5,1.2721036604996137
329,0.30000000000000004,2.6,1.2721036604996137
330,0.30000000000000004,2.7,1.2721036604996137
331,0.30000000000000004,2.8000000000000003,1.2721036604996137
332,0.30000000000000004,2.9000000000000004,1.2721036604996137
333,0.30000000000000004,3.0,1.2721036604996137
334,0.30000000000000004,3.1,1.2721036604996137
335,0.30000000000000004,3.2,1.2721036604996137
336,0.30000000000000004,3.3000000000000003,1.2721036604996137
337,0.30000000000000004,3.4000000000000004,1.2721036604996137
338,0.30000000000000004,3.5,1.2721036604996137
339,0.30000000000000004,3.6,1.2810694848037663
340,0.30000000000000004,3.7,1.3084657190944622
341,0.30000000000000004,3.8000000000000003,1.335131299351915
342,0.30000000000000004,3.9000000000000004,1.3611041882065351
343,0.30000000000000004,4.0,1.3864194644100267
344,0.30000000000000004,4.1000000000000005,1.4111096077391396
345,0.30000000000000004,4.2,1.435204749563042
346,0.30000000000000004,4.3,1.4587328939234947
347,0.30000000000000004,4.4,1.481720113196372
348,0.30000000000000004,4.5,1.5041907217628454
349,0.30000000000000004,4.6000000000000005,1.5261674305909487
350,0.30000000000000004,4.7,1.5476714851913893
351,0.30000000000000004,4.800000000000001,1.5687227890483024
352,0.30000000000000004,4.9,1.5893400143223173
353,0.30000000000000004,5.0,1.6095407013691048
354,0.30000000000000004,5.1000000000000005,1.629341348402555
355,0.30000000000000004,5.2,1.6487574924510706
356,0.30000000000000004,5.300000000000001,1.667803782602269
357,0.30000000000000004,5.4,1.6864940464011204
358,0.30000000000000004,5.5,1.7048413501554496
359,0.30000000000000004,5.6000000000000005,1.7228580538075773
360,0.30000000000000004,5.7,1.7405558609492695
361,0.30000000000000004,5.800000000000001,1.757945864486867
362,0.30000000000000004,5.9,1.7750385884028315
363,0.30000000000000004,6.0,1.7918440260073802
364,0.30000000000000004,6.1000000000000005,1.8083716750283965
365,0.30000000000000004,6.2,1.8246305698480894
366,0.30000000000000004,6.300000000000001,1.8406293111603955
367,0.30000000000000004,6.4,1.8563760932928373
368,0.30000000000000004,6.5,1.8718787294101502
369,0.30000000000000004,6.6000000000000005,1.887144674793725
370,0.30000000000000004,6.7,1.9021810483705293
371,0.30000000000000004,6.800000000000001,1.9169946526470922
372,0.30000000000000004,6.9,1.9315919921883018
373,0.30000000000000004,7.0,1.9459792907666553
374,0.30000000000000004,7.1000000000000005,1.960162507295114
375,0.30000000000000004,7.2,1.9741473506456555
376,0.30000000000000004,7.300000000000001,1.9879392934457785
377,0.30000000000000004,7.4,2.0015435849363508
378,0.30000000000000004,7.5,2.014965262966458
379,0.30000000000000004,7.6000000000000005,2.0282091651938043
380,0.30000000000000004,7.7,2.041279939553
381,0.30000000000000004,7.800000000000001,2.0541820540484257
382,0.30000000000000004,7.9,2.0669198059232765
383,0.30000000000000004,8.0,2.079497330251915
384,0.30000000000000004,8.1,2.0919186079984735
385,0.30000000000000004,8.200000000000001,2.1041874735810278
386,0.30000000000000004,8.3,2.116307621977321
387,0.30000000000000004,8.4,2.1282826154049306
388,0.30000000000000004,8.5,2.1401158896061703
389,0.30000000000000004,8.6,2.1518107597653846
390,0.30000000000000004,8.700000000000001,2.163370426084221
391,0.30000000000000004,8.8,2.1747979790382606
392,0.30000000000000004,8.9,2.1860964043366686
393,0.30000000000000004,9.0,2.197268587604734
394,0.30000000000000004,9.1,2.2083173188077008
395,0.30000000000000004,9.200000000000001,2.219245296432837
396,0.30000000000000004,9.3,2.230055131445442
397,0.30000000000000004,9.4,2.2407493510332794
398,0.30000000000000004,9.5,2.2513304021528833
399,0.30000000000000004,9.600000000000001,2.261800654890191
400,0.30000000000000004,9.700000000000001,2.2721624056470344
401,0.30000000000000004,9.8,2.2824178801642074
402,0.30000000000000004,9.9,2.292569236391079
403,0.30000000000000004,10.0,2.3026185672109944
404,0.4,0.0,1.4007499602891333
405,0.4,0.1,1.4007499602891333
406,0.4,0.2,1.4007499602891333
407,0.4,0.30000000000000004,1.4007499602891333
408,0.4,0.4,1.4007499602891333
